task_id,task_name,episode_idx,success,steps,max_steps
0,put both the alphabet soup and the tomato sauce in the basket,0,True,288,530
0,put both the alphabet soup and the tomato sauce in the basket,1,True,279,530
0,put both the alphabet soup and the tomato sauce in the basket,2,True,296,530
0,put both the alphabet soup and the tomato sauce in the basket,3,True,280,530
0,put both the alphabet soup and the tomato sauce in the basket,4,True,276,530
0,put both the alphabet soup and the tomato sauce in the basket,5,True,263,530
0,put both the alphabet soup and the tomato sauce in the basket,6,True,288,530
0,put both the alphabet soup and the tomato sauce in the basket,7,True,259,530
0,put both the alphabet soup and the tomato sauce in the basket,8,True,243,530
0,put both the alphabet soup and the tomato sauce in the basket,9,True,242,530
0,put both the alphabet soup and the tomato sauce in the basket,10,True,264,530
0,put both the alphabet soup and the tomato sauce in the basket,11,True,267,530
0,put both the alphabet soup and the tomato sauce in the basket,12,True,274,530
0,put both the alphabet soup and the tomato sauce in the basket,13,True,267,530
0,put both the alphabet soup and the tomato sauce in the basket,14,True,300,530
0,put both the alphabet soup and the tomato sauce in the basket,15,True,278,530
0,put both the alphabet soup and the tomato sauce in the basket,16,True,255,530
0,put both the alphabet soup and the tomato sauce in the basket,17,True,281,530
0,put both the alphabet soup and the tomato sauce in the basket,18,False,530,530
0,put both the alphabet soup and the tomato sauce in the basket,19,True,330,530
1,put both the cream cheese box and the butter in the basket,0,True,254,530
1,put both the cream cheese box and the butter in the basket,1,True,264,530
1,put both the cream cheese box and the butter in the basket,2,True,260,530
1,put both the cream cheese box and the butter in the basket,3,True,249,530
1,put both the cream cheese box and the butter in the basket,4,True,256,530
1,put both the cream cheese box and the butter in the basket,5,True,243,530
1,put both the cream cheese box and the butter in the basket,6,True,288,530
1,put both the cream cheese box and the butter in the basket,7,True,244,530
1,put both the cream cheese box and the butter in the basket,8,True,259,530
1,put both the cream cheese box and the butter in the basket,9,True,248,530
1,put both the cream cheese box and the butter in the basket,10,True,248,530
1,put both the cream cheese box and the butter in the basket,11,True,249,530
